Altium Designer Pick and Place Locations
C:\Users\janst\Nextcloud\Thuis\Projecten\Fri3d\2024 Bluetooth Speaker\PCB design\JSP016RB (bluetooth speaker)\Project Outputs for JSP016RB\Pick Place\Pick Place for JSP016RB(Variant of JSP016RB).txt

========================================================================================================================
File Design Information:

Date:       12/07/24
Time:       01:12
Revision:   Not in VersionControl
Variant:    Variant of JSP016RB
Units used: mil

Designator Comment           Layer       Footprint      Center-X(mil) Center-Y(mil) Rotation Description                                     
R73        resistor          TopLayer    R0402          2275.198      227.557       270      "RES SMD 0 OHM JUMPER 1/10W 0402"               
R72        resistor          TopLayer    R0402          2232.285      227.557       270      "RES SMD 0 OHM JUMPER 1/10W 0402"               
R69        resistor          TopLayer    R0402          2188.978      227.557       270      "RES SMD 0 OHM JUMPER 1/10W 0402"               
IC11       74HCT1G08GW       TopLayer    TSSOP-5        487.459       1121.063      90       "IC GATE AND 1CH 2-INP 5TSSOP"                  
C35        cap_non_pol       BottomLayer TH5.08         344.488       1112.205      270      "CAP CER TH 100nF X7R 50V"                      
R75        resistor          TopLayer    R0402          379.923       701.773       360      "RES SMD 100K OHM 1% 1/10W 0402"                
R74        resistor          TopLayer    R0402          293.309       701.773       360      "RES SMD 100K OHM 1% 1/10W 0402"                
R70        resistor          TopLayer    R0402          1641.885      1395.668      180      "RES SMD 0 OHM JUMPER 1/10W 0402"               
R67        resistor          TopLayer    R0402          1728.348      1454.869      360      "RES SMD 100K OHM 1% 1/10W 0402"                
R66        resistor          TopLayer    R0402          1641.731      1438.975      180      "RES SMD 4.7K OHM 1% 1/10W 0402"                
R65        resistor          TopLayer    R0402          1794.290      350.002       90       "RES SMD 100 OHM 1% 1/5W 0402"                  
IC10       PI4IOE5V6416LEX   TopLayer    TSSOP-24       1755.906      584.646       270      "IC XPNDR 400KHZ I2C 24TSSOP"                   
S3         push-button       TopLayer    ANT11SF1CQE    3779.528      578.740       90       "SWITCH TOGGLE SPDT 5A 120V"                    
R64        resistor          TopLayer    R0402          2423.230      486.734       360      "RES SMD 0 OHM JUMPER 1/10W 0402"               
R63        resistor          TopLayer    R0402          2986.222      488.187       270      "RES SMD 100K OHM 1% 1/10W 0402"                
R62        resistor          TopLayer    R0402          3716.534      1091.413      90       "RES SMD 0 OHM JUMPER 1/10W 0402"               
R61        resistor          TopLayer    R0402          765.746       1139.765      90       "RES SMD 10K OHM 1% 1/10W 0402"                 
R60        resistor          TopLayer    R0402          814.959       1334.647      90       "RES SMD 0 OHM JUMPER 1/10W 0402"               
R59        resistor          TopLayer    R0402          1124.017      1746.065      360      "RES SMD 0 OHM JUMPER 1/10W 0402"               
R58        resistor          TopLayer    R0402          1124.017      1702.757      360      "RES SMD 0 OHM JUMPER 1/10W 0402"               
R57        resistor          TopLayer    R0402          753.935       1333.762      90       "RES SMD 0 OHM JUMPER 1/10W 0402"               
J12        Pin-3             TopLayer    3-PIN-EMPTY    3870.079      2005.906      90       "CONN TH solder pad"                            
J11        Pin-6             TopLayer    6-PIN-EMPTY    2852.362      1976.378      180      "CONN TH solder pad"                            
J10        Pin-6             TopLayer    6-PIN-EMPTY    2852.756      2104.724      180      "CONN TH solder pad"                            
C47        cap_non_pol       TopLayer    C0402          1698.820      1720.474      360      "CAP CER 0.1UF 50V X5R 0402"                    
R56        resistor          TopLayer    R0402          765.746       1053.151      90       "RES SMD 10K OHM 1% 1/10W 0402"                 
